id,short_name,name,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
300011834,HYLA00011834,None,65.7958,28.4458,False,False,True,True,True
300011866,HYLA00011866,None,65.4847,91.2069,False,False,True,True,True
300011878,HYLA00011878,None,65.4208,65.8208,False,False,True,True,True
300011902,HYLA00011902,None,65.1708,-19.6708,False,False,True,True,True
300011916,HYLA00011916,None,65.0375,33.4708,False,False,True,True,True
300011976,HYLA00011976,Kvarnbergsvattnet,64.5736,13.9625,False,False,True,True,True
300011991,HYLA00011991,None,64.4292,34.0375,False,False,True,True,True
300012019,HYLA00012019,None,64.1653,28.0958,False,False,True,True,True
300012021,HYLA00012021,None,64.1569,34.3125,False,False,True,True,True
300012023,HYLA00012023,None,64.2319,29.5681,False,False,True,True,True
300012051,HYLA00012051,None,64.0708,13.0458,False,False,True,True,True
300012060,HYLA00012060,None,63.9708,35.1597,False,False,True,True,True
300012093,HYLA00012093,None,63.7625,35.4542,False,False,True,True,True
300012120,HYLA00012120,None,63.6292,12.5792,False,False,True,True,True
300012150,HYLA00012150,None,63.4875,32.9819,False,False,True,True,True
300012163,HYLA00012163,None,63.4042,25.4292,False,False,True,True,True
300012213,HYLA00012213,Nesjoen,62.9819,12.0097,False,False,True,True,True
300012234,HYLA00012234,None,62.8375,35.3542,False,False,True,True,True
300012266,HYLA00012266,None,62.7236,25.4681,False,False,True,True,True
300012284,HYLA00012284,None,62.6514,34.0542,False,False,True,True,True
300012287,HYLA00012287,None,62.4542,143.6292,False,False,True,True,True
300012300,HYLA00012300,None,62.5542,162.3625,False,False,True,True,True
300012316,HYLA00012316,None,62.4125,15.3458,False,False,True,True,True
300012336,HYLA00012336,None,62.3958,33.8125,False,False,True,True,True
300012341,HYLA00012341,None,62.3042,33.7208,False,False,True,True,True
300012361,HYLA00012361,None,62.2375,43.3625,False,False,True,True,True
300012394,HYLA00012394,None,62.0653,38.2208,False,False,True,True,True
300012406,HYLA00012406,None,62.0792,72.9125,False,False,True,True,True
300012424,HYLA00012424,None,62.0042,27.3792,False,False,True,True,True
