name;latitude;longitude;cci_lakeid
Pyramid;40.03;-119.57;411
Qadisiyah;34.31;42.3;484
Rakshastal;30.65;81.24;676
Razlem Sinoe system;44.79;29;358
Rihpojavri;69.21;20.61;134644
Rosarito;40.1;-5.31;18140
Roseires;11.79;34.41;274
Rukwa;-7.84;32.16;11
Rusken;57.24;14.38;13043
Rybinskoye;58.49;38.13;47
Saint Clair;42.41;-82.72;146
Sakakawea;47.81;-102.32;110
Salton Sea;33.32;-115.81;194
Sandy;53;-93.4;356
Saratovskoye;52.74;48.36;113
Sarykamyshskoye;41.88;57.61;241
Sasykkol;46.57;81.05;247
Saysan;48;83.93;2637
Sebago;43.85;-70.54;1498
Seneca;42.66;-76.9;773
Sevan;40.39;45.29;135
Simcoe;44.46;-79.36;236
Skadar;42.19;19.3;488
Sobradino;-9.73;-41.67;19
Soungari;43.6;126.93;1297
Squam;43.75;-71.53;6561
St. Jean;48.66;-72.02;158
St. John;30.03;-81.68;507
Superior;47.95;-87.32;2
Tahoe;39.1;120.02;380
Taihu;31.21;120.24;66
Tana;11.95;37.31;55
Tanganyika;-6.26;29.55;7
Tangra;31.05;86.59;215
Tapajos;-2.37;-54.94;200000013
Taro-co;31.12;84.12;383
Tasersuaq;66.75;-50.94;2199
Tharthar;34.11;43.17;77
Titicaca;-15.84;-69.35;20
Todos los Santos;-41.14;-72.29;991
Toktogul;41.76;72.91;729
Torrens;-31;137.85;177
Trasimeno;43.14;12.11;1529
Tres Marias;-18.65;-45.21;188
Tsimlyanskoye;48.05;42.98;71
Tucurui;-4.57;-49.49;52
Turkana;3.51;36.1;22
Tuz;38.76;33.35;140
Ulan Ul Hu;34.85;90.4;456
Ulungur;47.275;87.269;239
Urmia;37.64;45.49;34
Urru;31.71;87.96;543
Uvs;50.33;92.74;53
Vaettern;58.33;14.54;95
Valencia;10.19;-67.73;515
Van;38.63;42.96;51
Vanern;58.88;13.22;29
Victoria;-0.98;32.98;3
Vidoestern;57.01;14;13070
Volta;7.63;0.11;24
Vorstjarv;58.3;26.03;679
Williston;55.95;-123.91;103
Winnipeg;52.42;-97.68;13
Winnipegosis;52.74;-99.88;31
Wood;49.38;-94.91;44
Xuelian-hu;34.09;90.25;15002
Yellowstone;44.43;-110.39;572
Zeyskoye;54.26;127.8;88
Zhari-namco;30.9;85.61;179
Zige-tangco;32.06;90.85;989
Ziling. Xining;31.8;89.04;105
